Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
21T4iU182ThXzintufiYsdGsB5Gepi83L325LLzhk2FNr4hkv5HGvDBBiX5M4XQQLcFCqtbwRVLpqkqMPpnKZgj5,1777538209,2026-04-30T08:36:49,0.000008421,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,914242,109402697,108488455,So11111111111111111111111111111111111111111,9,1.0
5CRNVuBb7XLQvUKg7cy8jRSYYtQ6bXvhHjtgZCqrGHis27imefi2jCaFr69e2aPGzZgTxBUBi2nMKxTq3sh3D69C,1777538173,2026-04-30T08:36:13,0.000015032,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,3010361,112413058,109402697,So11111111111111111111111111111111111111111,9,1.0
4dZtcyy58HRxwyw5QCFpSaK8NXX4SyugxXc5LBfdK96C8APihPiXBvFNFWkwMnCSkMJPAcPByUbkWKNAQB3FDjAL,1777537438,2026-04-30T08:23:58,0.000016452,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2980291,115393349,112413058,So11111111111111111111111111111111111111111,9,1.0
3ZHykxAxgJpQCReoyWYyBxCGZagiNWEXDKj6ptPtsUi69TSD1fgxBn45HobJvXmCFyVVBuveRtwr2Xbhx6CXursw,1777536669,2026-04-30T08:11:09,0.00001469,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2974418,118367767,115393349,So11111111111111111111111111111111111111111,9,1.0
gBcLgCeiDvGpfv49UU9F3Vo5aUxrnZtpN61qfhk53joEqe6mncBrU7T4k2fnAjbcbYLhk9TsFSSThoBeUaUYTJX,1777535190,2026-04-30T07:46:30,0.000014969,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,936070,119303837,118367767,So11111111111111111111111111111111111111111,9,1.0
4iBe8uKQEHBQebfbo8XPauzARmVHdKNHsBK5WsHnCwLWeRrqmCYWBWDBNwbt6PTfCcwEcjziz4TUgmYuhF9ogdRK,1777533502,2026-04-30T07:18:22,0.000008985,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,916123,120219960,119303837,So11111111111111111111111111111111111111111,9,1.0
4MYy5ttyt43RENhNuMCMAvy99id9TekHNNK6xejwtYC72qzJiyNVkxGKxwrmASS1br9J2kie8iUhLcHm7WEa855B,1777532716,2026-04-30T07:05:16,0.000018455,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,947689,121167649,120219960,So11111111111111111111111111111111111111111,9,1.0
5K3wMLL9m3qpy4Pf5L39hoWVNRDKNrgLniEBE96YbK4ZrFSA45ZmBv1wkASRWny8hH7kMXjM42HyJNmTYkypizFz,1777532604,2026-04-30T07:03:24,0.000020057,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,953029,122120678,121167649,So11111111111111111111111111111111111111111,9,1.0
3w57iBPWPgtjNnPsibWY8qu6S9JP53gajb3uvRZXNY1LdFzN1ufaZGQYYHtHpy82E3CmSCMsB6qXvw7uWDEE8Z5R,1777532458,2026-04-30T07:00:58,0.000017858,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,945697,123066375,122120678,So11111111111111111111111111111111111111111,9,1.0
4EEKjwjdKdNMibYpQNe7PKnwaLn8XMAVqveVSaMJVXiiDnNbZtABgmk6piJaF1zVLQQYEer9wTYFTkHM1H4oJkoo,1777531304,2026-04-30T06:41:44,0.000014692,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,935146,124001521,123066375,So11111111111111111111111111111111111111111,9,1.0
q3v2fa9Y9sn8zhbKvSNABTknY7EpJhk9ZYp9fVkfEEx3SYB7TPyQuXHue53gsdkXtra5ihnf6wV5fineGEZ2PiT,1777530688,2026-04-30T06:31:28,0.000042418,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,1027566,125029087,124001521,So11111111111111111111111111111111111111111,9,1.0
5nEsyE54BEKTFgx5JzXUum7HR3KJ14Gx71TzksRmRkKQVRckiZHnBi6zTxcEJDRHbijWHk4iCNbziBKHHeUd5Xu,1777529765,2026-04-30T06:16:05,0.000014085,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2972402,128001489,125029087,So11111111111111111111111111111111111111111,9,1.0
3AtfmDrdHdnKd4iA7H3vocBFztKs5ex8Q5PADGsJenZGEfueYkpUGa39gDikAwMRyUSnuMRbGhsZinxUnAxu2twH,1777529436,2026-04-30T06:10:36,0.000010411,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,920875,128922364,128001489,So11111111111111111111111111111111111111111,9,1.0
4DjXbVpWHGMw5eDtcu7wJcZb93hEgVcEX6C3MBJU7HzYgET93FEFuMcRt3T1d458KwTSpL7CDpsVpsFw2SauLHmu,1777529407,2026-04-30T06:10:07,0.000012207,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2966141,131888505,128922364,So11111111111111111111111111111111111111111,9,1.0
4MTvYf6xaKQ8TehC9dn4PZSu7eF9GPiGEsN2gMxWdrR67qMeyaBM3m1ih8KjuD8Dnqa3Bwnde4WAKEH5ytA75EbT,1777529404,2026-04-30T06:10:04,0.000011615,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,924889,132813394,131888505,So11111111111111111111111111111111111111111,9,1.0
3Y3m8PrVG5NiNUGXEjNdUAeU6XEnm6hhWXkNMU9Afzwgw1K313ae3JsjwKwkzJXpetKEcnyorZNrVps7YM5GfCGt,1777528497,2026-04-30T05:54:57,0.00001155,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,924673,133738067,132813394,So11111111111111111111111111111111111111111,9,1.0
25DamNmwwNDG2bD7761kaSAJDHWAfjqPYQ8hnMCKqsrYgMRQ6k7VFAzUhPcv8fy4P3eriAqAdzAx5Qpyuas9SHuK,1777528031,2026-04-30T05:47:11,0.000010667,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,921730,134659797,133738067,So11111111111111111111111111111111111111111,9,1.0
2oFpRYCFupaQtN8Kfp99NuBzckMmos3Lnb9zYyYA9xvWuitmb5ASHhmgFACea5Beu44r8it7rZDgikTcC7i9CPAF,1777527993,2026-04-30T05:46:33,0.000011098,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2962446,137622243,134659797,So11111111111111111111111111111111111111111,9,1.0
qtogaqJF3UjFHf2YLn5ARnDbYHXpc6t3tjSmkCShteCxGqTeXiF98NYCmPnPMVozapVUD4ZHgcdf8d88Gn5iosw,1777527953,2026-04-30T05:45:53,0.000009596,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,918160,138540403,137622243,So11111111111111111111111111111111111111111,9,1.0
2r6Y5RuRxsHgpzQxakeH7MhcKN8jhCAWJuLi2h7LDzsehfaJ7MiMMaEftcwcGtCN6xcsdKZEPrn8KE6z5ujfLa8s,1777527243,2026-04-30T05:34:03,0.00000997,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,919407,139459810,138540403,So11111111111111111111111111111111111111111,9,1.0
4hh8kQGbgJj9nDChUUrcVy8VvDUEWjJTYMUderx4AwX4H2AzY5CdYMGekCXzbMkqJsKbWqAUXev7yNgcF4HmefZc,1777525673,2026-04-30T05:07:53,0.00001386,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,932373,140392183,139459810,So11111111111111111111111111111111111111111,9,1.0
2dcbCnPAJATy75cbjdQ3fR4oGyH44k79WBiLccrY5atztWneaQziLJ6e8NAkrat5omYCfHfRKYCiWuDdaP1zPoRV,1777525373,2026-04-30T05:02:53,0.000016175,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,940089,141332272,140392183,So11111111111111111111111111111111111111111,9,1.0
QuMWN1W9saYENsJc1omWyQzDQd1tSqZRfnSzZxYcDpWtGsu94DQgJzL7LX6pwi3hjHaLb7Qz9cC5g1XL3j7i6B6,1777525274,2026-04-30T05:01:14,0.000011193,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2962762,144295034,141332272,So11111111111111111111111111111111111111111,9,1.0
4tcMi8szDFWcaKRpFdmAhKU58prVWqRxgCrw7DKrjPe1f9xei2sFrbEv9RqoSo4kLspNXB89HaieDK7k5PGBJq1d,1777525212,2026-04-30T05:00:12,0.000011066,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,923060,145218094,144295034,So11111111111111111111111111111111111111111,9,1.0
38PWv9pffTFtHWjmoBkxY5ZptCMZfkWCG3sDNUXAeprgx8hd4a5g963NML9EwYxFDNRYYSHE5ZwN4phUKpXTC9Jq,1777525183,2026-04-30T04:59:43,0.000009277,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2956376,148174470,145218094,So11111111111111111111111111111111111111111,9,1.0
3uo8qzGqRhdwFDm2S7L9kmNYkiLSgDdwRj3uW2Bo4jg3EpoLvbueLfWmB7gpCCybqPBJrYFchUkgn3PVwaG4SLf9,1777525073,2026-04-30T04:57:53,0.000010317,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,920564,149095034,148174470,So11111111111111111111111111111111111111111,9,1.0
45Rkb1JXiBVaDTq4rxvGWa9CxaiF38YSdvwTjTHeRyqucDPwk8sMLGgM6JSCfsWE9oaUQ7roPSZY6otL6WhoqA8A,1777524964,2026-04-30T04:56:04,0.000011954,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,926019,150021053,149095034,So11111111111111111111111111111111111111111,9,1.0
53XiHwUiTHgpoqGpoUAtsdsskCMTrw8avgn4E9oKRFtguu4SnUKsAB1MQnp7CUiSeaHZZSCRTnwvH82MKDnKf8g2,1777524868,2026-04-30T04:54:28,0.00000916,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,916704,150937757,150021053,So11111111111111111111111111111111111111111,9,1.0
5o3otRhPnwCuaKvXJ7j4vN5pnLtD41x5eYS2piWoPA1SWFUMjti23M9YyEACCudvZF8fx2NzjekhDEJPuXuMj6GU,1777524345,2026-04-30T04:45:45,0.000022675,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,961756,151899513,150937757,So11111111111111111111111111111111111111111,9,1.0
3RHyF6HAYXFvftLWvjA5wpA33nuvsxGUAMqXj64yWWkLzjYwckPVTete3EXF1djmaA185fDkh6DPbxHCEy7Ad6Sw,1777524342,2026-04-30T04:45:42,0.000023277,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,963763,152863276,151899513,So11111111111111111111111111111111111111111,9,1.0
